,0
1451,TECHNOFAB
1452,TEJASNET
1453,TERASOFT
1454,TEXINFRA
1455,TEXMOPIPES
1456,TEXRAIL
1457,TFCILTD
1458,TFL
1459,TGBHOTELS
1460,THANGAMAYL
1461,THEINVEST
1462,THEMISMED
1463,THERMAX
1464,THIRUSUGAR
1465,THOMASCOOK
1466,THOMASCOTT
1467,THYROCARE
1468,TI
1469,TIDEWATER
1470,TIIL
1471,TIINDIA
1472,TIJARIA
1473,TIL
1474,TIMESGTY
1475,TIMETECHNO
1476,TIMKEN
1477,TINPLATE
1478,TIPSINDLTD
1479,TIRUMALCHM
1480,TIRUPATIFL
1481,TITAN
1482,TMRVL
1483,TNPETRO
1484,TNPL
1485,TNTELE
1486,TOKYOPLAST
1487,TORNTPHARM
1488,TORNTPOWER
1489,TOUCHWOOD
1490,TPLPLASTEH
1491,TREEHOUSE
1492,TREJHARA
1493,TRENT
1494,TRF
1495,TRIDENT
1496,TRIGYN
1497,TRIL
1498,TRITURBINE
1499,TRIVENI
1500,TTKHLTCARE
1501,TTKPRESTIG
1502,TTL
1503,TTML
1504,TV18BRDCST
1505,TVSELECT
1506,TVSMOTOR
1507,TVSSRICHAK
1508,TVTODAY
1509,TVVISION
1510,TWL
1511,UBL
1512,UCALFUEL
1513,UCOBANK
1514,UFLEX
1515,UFO
1516,UGARSUGAR
1517,UJAAS
1518,UJJIVAN
1519,UJJIVANSFB
1520,ULTRACEMCO
1521,UMANGDAIRY
1522,UMESLTD
1523,UNICHEMLAB
1524,UNIENTER
1525,UNIONBANK
1526,UNIPLY
1527,UNITECH
1528,UNITEDTEA
1529,UNITY
1530,UNIVASTU
1531,UNIVCABLES
1532,UNIVPHOTO
1533,UPL
1534,URJA
1535,USHAMART
1536,UTTAMSTL
1537,UTTAMSUGAR
1538,UVSL
1539,V2RETAIL
1540,VADILALIND
1541,VAIBHAVGBL
1542,VAISHALI
1543,VAKRANGEE
1544,VARDHACRLC
1545,VARDMNPOLY
1546,VARROC
1547,VASCONEQ
1548,VASWANI
1549,VBL
1550,VEDL
1551,VENKEYS
1552,VENUSREM
1553,VERTOZ
1554,VESUVIUS
1555,VETO
1556,VGUARD
1557,VHL
1558,VICEROY
1559,VIDEOIND
1560,VIDHIING
1561,VIJIFIN
1562,VIKASECO
1563,VIKASMCORP
1564,VIKASPROP
1565,VIKASWSP
1566,VIMTALABS
1567,VINATIORGA
1568,VINDHYATEL
1569,VINYLINDIA
1570,VIPCLOTHNG
1571,VIPIND
1572,VIPULLTD
1573,VISAKAIND
1574,VISASTEEL
1575,VISHAL
1576,VISHNU
1577,VISHWARAJ
1578,VIVIDHA
1579,VIVIMEDLAB
1580,VLSFINANCE
1581,VMART
1582,VOLTAMP
1583,VOLTAS
1584,VRLLOG
1585,VSSL
1586,VSTIND
1587,VSTTILLERS
1588,VTL
1589,WABAG
1590,WABCOINDIA
1591,WALCHANNAG
1592,WANBURY
1593,WATERBASE
1594,WEBELSOLAR
1595,WEIZMANIND
1596,WELCORP
1597,WELENT
1598,WELINV
1599,WELSPUNIND
1600,WENDT
1601,WESTLIFE
1602,WHEELS
1603,WHIRLPOOL
1604,WILLAMAGOR
1605,WINDMACHIN
1606,WIPL
1607,WIPRO
1608,WOCKPHARMA
1609,WONDERLA
1610,WORTH
1611,WSI
1612,WSTCSTPAPR
1613,XCHANGING
1614,XELPMOC
1615,XPROINDIA
1616,YESBANK
1617,ZEEL
1618,ZEELEARN
1619,ZEEMEDIA
1620,ZENITHBIR
1621,ZENITHEXPO
1622,ZENSARTECH
1623,ZENTEC
1624,ZICOM
1625,ZODIACLOTH
1626,ZODJRDMKJ
1627,ZOTA
1628,ZUARI
1629,ZUARIGLOB
1630,ZYDUSWELL
